a: EY
ability: AXˈBIHL.AX.T̬IY
able: ˈEY.BAXL
about: AXˈBAWT
above: AXˈBAHV
accept: AXKˈSEHPT
according: AXˈKAOːRD
account: AXˈKAWNT
across: AXˈKRAAːS
act: AEKT
action: ˈAEK.SHAXN
activity: AEKˈTIHV.AX.T̬IY
actually: ˈAEK.CHUW.AX.LIY
add: AED
address: ˈAED.REHS
administration: AXDˌMIHN.AXˈSTREY.SHAXN
admit: AXDˈMIHT
adult: ˈAED.AHLT
affect: AXˈFEHKT
after: ˈAEF.TAXR
again: AXˈGEHN
against: AXˈGEHNST
age: EYJH
agency: ˈEY.JHAXN.SIY
agent: ˈEY.JHAXNT
ago: AXˈGOW
agree: AXˈGRIYː
agreement: AXˈGRIYː.MAXNT
ahead: AXˈHHEHD
air: EHR
all: AAːL
allow: AXˈLAW
almost: ˈAAːL.MOWST
alone: AXˈLOWN
along: AXˈLAAːNG
already: AAːLˈREHD.IY
also: ˈAAːL.SOW
although: AAːLˈDHOW
always: ˈAAːL.WEYZ
American: AXˈMEHR.IH.KAXN
among: AXˈMAHNG
amount: AXˈMAWNT
analysis: AXˈNAEL.AX.SIHS
and: AEND
animal: ˈAEN.IH.MAXL
another: AXˈNAHDH.AXR
answer: ˈAEN.SAXR
any: ˈEHN.IY
anyone: ˈEHN.IY.WAHN
anything: ˈEHN.IY.THIHNG
appear: AXˈPIHR
apply: AXˈPLAY
approach: AXˈPROWCH
area: ˈEHR.IY.AX
argue: ˈAAːRG.YUWː
arm: AAːRM
around: AXˈRAWND
arrive: AXˈRAYV
art: AAːRT
article: ˈAAːR.T̬IH.KAXL
artist: ˈAAːR.T̬IHST
as: AEZ
ask: AESK
assume: AXˈSUWːM
at: AET
attack: AXˈTAEK
attention: AXˈTEHN.SHAXN
attorney: AXˈTERː.NIY
audience: ˈAAː.DIY.AXNS
author: ˈAAː.THAXR
authority: AXˈTHAOːR.AX.T̬IY
available: AXˈVEY.LAX.BAXL
avoid: AXˈVOYD
away: AXˈWEY
baby: ˈBEY.BIY
back: BAEK
bad: BAED
bag: BAEG
ball: BAAːL
bank: BAENGK
bar: BAAːR
base: BEYS
be: BIYː
beat: BIYːT
beautiful: ˈBYUWː.T̬AX.FAXL
because: BIHˈKAHZ
become: BIHˈKAHM
bed: BEHD
before: BIHˈFAOːR
begin: BIHˈGIHN
behavior: BIHˈHHEY.VYAXR
behind: BIHˈHHAYND
believe: BIHˈLIYːV
benefit: ˈBEHN.AX.FIHT
best: BEHST
better: ˈBEHT̬.AXR
between: BIHˈTWIYːN
beyond: BIYˈYAAːND
big: BIHG
bill: BIHL
billion: ˈBIHL.YAXN
bit: BIHT
black: BLAEK
blood: BLAHD
blue: BLUWː
board: BAOːRD
body: ˈBAAː.DIY
book: BUHK
born: BAOːRN
both: BOWTH
box: BAAːKS
boy: BOY
break: BREYK
bring: BRIHNG
brother: ˈBRAHDH.AXR
budget: ˈBAHJH.IHT
build: BIHLD
building: ˈBIHL.DIHNG
business: ˈBIHZ.NIHS
but: BAHT
buy: BAY
by: BAY
call: KAAːL
camera: ˈKAEM.RAX
campaign: KAEMˈPEYN
can: KAEN
cancer: ˈKAEN.SAXR
candidate: ˈKAEN.DIH.DAXT
capital: ˈKAEP.AX.T̬AXL
car: KAAːR
card: KAAːRD
care: KEHR
career: KAXˈRIHR
carry: ˈKEHR.IY
case: KEYS
catch: KAECH
cause: KAAːZ
cell: SEHL
center: ˈSEHN.T̬AXR
central: ˈSEHN.TRAXL
century: ˈSEHN.CHAXR.IY
certain: ˈSERː.TAXN
certainly: ˈSERː.TAXN.LIY
chair: CHEHR
challenge: ˈCHAEL.IHNJH
chance: CHAENS
change: CHEYNJH
character: ˈKEHR.AXK.TAXR
charge: CHAAːRJH
check: CHEHK
child: CHAYLD
choice: CHOYS
choose: CHUWːZ
church: CHERːCH
citizen: ˈSIHT̬.AX.ZAXN
city: ˈSIHT̬.IY
civil: ˈSIHV.AXL
claim: KLEYM
class: KLAES
clear: KLIHR
clearly: ˈKLIHR.LIY
close: KLOWZ
coach: KOWCH
cold: KOWLD
collection: KAXˈLEHK.SHAXN
college: ˈKAAː.LIHJH
color: ˈKAHL.AXR
come: KAHM
commercial: KAXˈMERː.SHAXL
common: ˈKAAː.MAXN
community: KAXˈMYUWː.NAX.T̬IY
company: ˈKAHM.PAX.NIY
compare: KAXMˈPEHR
computer: KAXMˈPYUWː.T̬AXR
concern: KAXNˈSERːN
condition: KAXNˈDIHSH.AXN
conference: ˈKAAːN.FAXR.AXNS
Congress: ˈKAAːNG.GREHS
consider: KAXNˈSIHD.AXR
