a: EY
ability: AXˈB-IH-L.AX.T-IY
able: ˈEY.B-AX-L
about: AXˈB-AW-T
above: AXˈB-AH-V
accept: AX-KˈS-EH-P-T
according: AXˈK-AOːR-D
account: AXˈK-AW-N-T
across: AXˈK-R-AAːS
act: AE-K-T
action: ˈAE-K.SH-AX-N
activity: AE-KˈT-IH-V.AX.T-IY
actually: ˈAE-K.CH-UW.AX.L-IY
add: AE-D
address: ˈAE-D.R-EH-S
administration: AX-DˌM-IH-N.AXˈS-T-R-EY.SH-AX-N
admit: AX-DˈM-IH-T
adult: ˈAE-D.AH-L-T
affect: AXˈF-EH-K-T
after: ˈAE-F.T-AXR
again: AXˈG-EH-N
against: AXˈG-EH-N-S-T
age: EY-JH
agency: ˈEY.JH-AX-N.S-IY
agent: ˈEY.JH-AX-N-T
ago: AXˈG-OW
agree: AXˈG-R-IYː
agreement: AXˈG-R-IYː.M-AX-N-T
ahead: AXˈHH-EH-D
air: EH-R
all: AAːL
allow: AXˈL-AW
almost: ˈAAːL.M-OW-S-T
alone: AXˈL-OW-N
along: AXˈL-AAːNG
already: AAːLˈR-EH-D.IY
also: ˈAAːL.S-OW
although: AAːLˈDH-OW
always: ˈAAːL.W-EY-Z
American: AXˈM-EH-R.IH.K-AX-N
among: AXˈM-AH-NG
amount: AXˈM-AW-N-T
analysis: AXˈN-AE-L.AX.S-IH-S
and: AE-N-D
animal: ˈAE-N.IH.M-AX-L
another: AXˈN-AH-DH.AXR
answer: ˈAE-N.S-AXR
any: ˈEH-N.IY
anyone: ˈEH-N.IY.W-AH-N
anything: ˈEH-N.IY.TH-IH-NG
appear: AXˈP-IH-R
apply: AXˈP-L-AY
approach: AXˈP-R-OW-CH
area: ˈEH-R.IY.AX
argue: ˈAAːR-G.Y-UWː
arm: AAːR-M
around: AXˈR-AW-N-D
arrive: AXˈR-AY-V
art: AAːR-T
article: ˈAAːR.T-IH.K-AX-L
artist: ˈAAːR.T-IH-S-T
as: AE-Z
ask: AE-S-K
assume: AXˈS-UWːM
at: AE-T
attack: AXˈT-AE-K
attention: AXˈT-EH-N.SH-AX-N
attorney: AXˈT-ERː.N-IY
audience: ˈAAː.D-IY.AX-N-S
author: ˈAAː.TH-AXR
authority: AXˈTH-AOːR.AX.T-IY
available: AXˈV-EY.L-AX.B-AX-L
avoid: AXˈV-OY-D
away: AXˈW-EY
baby: ˈB-EY.B-IY
back: B-AE-K
bad: B-AE-D
bag: B-AE-G
ball: B-AAːL
bank: B-AE-NG-K
bar: B-AAːR
base: B-EY-S
be: B-IYː
beat: B-IYːT
beautiful: ˈB-Y-UWː.T-AX.F-AX-L
because: B-IHˈK-AH-Z
become: B-IHˈK-AH-M
bed: B-EH-D
before: B-IHˈF-AOːR
begin: B-IHˈG-IH-N
behavior: B-IHˈHH-EY.V-Y-AXR
behind: B-IHˈHH-AY-N-D
believe: B-IHˈL-IYːV
benefit: ˈB-EH-N.AX.F-IH-T
best: B-EH-S-T
better: ˈB-EH-T-̬.AXR
between: B-IHˈT-W-IYːN
beyond: B-IYˈY-AAːN-D
big: B-IH-G
bill: B-IH-L
billion: ˈB-IH-L.Y-AX-N
bit: B-IH-T
black: B-L-AE-K
blood: B-L-AH-D
blue: B-L-UWː
board: B-AOːR-D
body: ˈB-AAː.D-IY
book: B-UH-K
born: B-AOːR-N
both: B-OW-TH
box: B-AAːK-S
boy: B-OY
break: B-R-EY-K
bring: B-R-IH-NG
brother: ˈB-R-AH-DH.AXR
budget: ˈB-AH-JH.IH-T
build: B-IH-L-D
building: ˈB-IH-L.D-IH-NG
business: ˈB-IH-Z.N-IH-S
but: B-AH-T
buy: B-AY
by: B-AY
call: K-AAːL
camera: ˈK-AE-M.R-AX
campaign: K-AE-MˈP-EY-N
can: K-AE-N
cancer: ˈK-AE-N.S-AXR
candidate: ˈK-AE-N.D-IH.D-AX-T
capital: ˈK-AE-P.AX.T-AX-L
car: K-AAːR
card: K-AAːR-D
care: K-EH-R
career: K-AXˈR-IH-R
carry: ˈK-EH-R.IY
case: K-EY-S
catch: K-AE-CH
cause: K-AAːZ
cell: S-EH-L
center: ˈS-EH-N.T-AXR
central: ˈS-EH-N.T-R-AX-L
century: ˈS-EH-N.CH-AX-R.IY
certain: ˈS-ERː.T-AX-N
certainly: ˈS-ERː.T-AX-N.L-IY
chair: CH-EH-R
challenge: ˈCH-AE-L.IH-N-JH
chance: CH-AE-N-S
change: CH-EY-N-JH
character: ˈK-EH-R.AX-K.T-AXR
charge: CH-AAːR-JH
check: CH-EH-K
child: CH-AY-L-D
choice: CH-OY-S
choose: CH-UWːZ
church: CH-ERːCH
