a: EY
ability: AX.BIHL.AX.TIY
able: EY.BAXL
about: AX.BAWT
above: AX.BAHV
accept: AXK.SEHPT
according: AX.KAORD
account: AX.KAWNT
across: AX.KRAAS
act: AEKT
action: AEK.SHAXN
activity: AEK.TIHV.AX.TIY
actually: AEK.CHUW.AX.LIY
add: AED
address: AED.REHS
administration: AXD.MIHN.AX.STREY.SHAXN
admit: AXD.MIHT
adult: AED.AHLT
affect: AX.FEHKT
after: AEF.TAXR
again: AX.GEHN
against: AX.GEHNST
age: EYJH
agency: EY.JHAXN.SIY
agent: EY.JHAXNT
ago: AX.GOW
agree: AX.GRIY
agreement: AX.GRIY.MAXNT
ahead: AX.HHEHD
air: EHR
all: AAL
allow: AX.LAW
almost: AAL.MOWST
alone: AX.LOWN
along: AX.LAANG
already: AAL.REHD.IY
also: AAL.SOW
although: AAL.DHOW
always: AAL.WEYZ
American: AX.MEHR.IH.KAXN
among: AX.MAHNG
amount: AX.MAWNT
analysis: AX.NAEL.AX.SIHS
and: AEND
animal: AEN.IH.MAXL
another: AX.NAHDH.AXR
answer: AEN.SAXR
any: EHN.IY
anyone: EHN.IY.WAHN
anything: EHN.IY.THIHNG
appear: AX.PIHR
apply: AX.PLAY
approach: AX.PROWCH
area: EHR.IY.AX
argue: AARG.YUW
arm: AARM
around: AX.RAWND
arrive: AX.RAYV
art: AART
article: AAR.TIH.KAXL
artist: AAR.TIHST
as: AEZ
ask: AESK
assume: AX.SUWM
at: AET
attack: AX.TAEK
attention: AX.TEHN.SHAXN
attorney: AX.TER.NIY
audience: AA.DIY.AXNS
author: AA.THAXR
authority: AX.THAOR.AX.TIY
available: AX.VEY.LAX.BAXL
avoid: AX.VOYD
away: AX.WEY
baby: BEY.BIY
back: BAEK
bad: BAED
bag: BAEG
ball: BAAL
bank: BAENGK
bar: BAAR
base: BEYS
be: BIY
beat: BIYT
beautiful: BYUW.TAX.FAXL
because: BIH.KAHZ
become: BIH.KAHM
bed: BEHD
before: BIH.FAOR
begin: BIH.GIHN
behavior: BIH.HHEY.VYAXR
behind: BIH.HHAYND
believe: BIH.LIYV
benefit: BEHN.AX.FIHT
best: BEHST
better: BEHT.AXR
between: BIH.TWIYN
beyond: BIY.YAAND
big: BIHG
bill: BIHL
billion: BIHL.YAXN
bit: BIHT
black: BLAEK
blood: BLAHD
blue: BLUW
board: BAORD
body: BAA.DIY
book: BUHK
born: BAORN
both: BOWTH
box: BAAKS
boy: BOY
break: BREYK
bring: BRIHNG
brother: BRAHDH.AXR
budget: BAHJH.IHT
build: BIHLD
building: BIHL.DIHNG
business: BIHZ.NIHS
but: BAHT
buy: BAY
by: BAY
call: KAAL
camera: KAEM.RAX
campaign: KAEM.PEYN
can: KAEN
cancer: KAEN.SAXR
candidate: KAEN.DIH.DAXT
capital: KAEP.AX.TAXL
car: KAAR
card: KAARD
care: KEHR
career: KAX.RIHR
carry: KEHR.IY
case: KEYS
catch: KAECH
cause: KAAZ
cell: SEHL
center: SEHN.TAXR
central: SEHN.TRAXL
century: SEHN.CHAXR.IY
certain: SER.TAXN
certainly: SER.TAXN.LIY
chair: CHEHR
challenge: CHAEL.IHNJH
chance: CHAENS
change: CHEYNJH
character: KEHR.AXK.TAXR
charge: CHAARJH
check: CHEHK
child: CHAYLD
choice: CHOYS
choose: CHUWZ
church: CHERCH
citizen: SIHT.AX.ZAXN
city: SIHT.IY
civil: SIHV.AXL
claim: KLEYM
class: KLAES
clear: KLIHR
clearly: KLIHR.LIY
close: KLOWZ
coach: KOWCH
cold: KOWLD
collection: KAX.LEHK.SHAXN
college: KAA.LIHJH
color: KAHL.AXR
come: KAHM
commercial: KAX.MER.SHAXL
common: KAA.MAXN
community: KAX.MYUW.NAX.TIY
company: KAHM.PAX.NIY
compare: KAXM.PEHR
computer: KAXM.PYUW.TAXR
concern: KAXN.SERN
condition: KAXN.DIHSH.AXN
conference: KAAN.FAXR.AXNS
Congress: KAANG.GREHS
consider: KAXN.SIHD.AXR
consumer: KAXN.SUW.MAXR
contain: KAXN.TEYN
continue: KAXN.TIHN.YUW
control: KAXN.TROWL
cost: KAAST
could: KUHD
country: KAHN.TRIY
couple: KAHP.AXL
course: KAORS
court: UWS/KAORT
cover: KAHV.AXR
create: KRIY.EYT
crime: KRAYM
cultural: KAHL.CHAXR.AXL
culture: KAHL.CHAXR
cup: KAHP
current: KER.AXNT
customer: KAHS.TAX.MAXR
cut: KAHT
dark: DAARK
data: DEY.TAX
daughter: DAA.TAXR
day: DEY
dead: DEHD
deal: DIYL
death: DEHTH
debate: DIH.BEYT
decade: DEHK.EYD
decide: DIH.SAYD
decision: DIH.SIHZH.AXN
deep: DIYP
defense: DIH.FEHNS
degree: DIH.GRIY
Democrat: DEHM.AX.KRAET
democratic:DEHM.AX.KRAET.IHK
describe: DIH.SKRAYB
design: DIH.ZAYN
despite: DIH.SPAYT
detail: DIH.TEYL
determine: DIH.TER.MIHN
develop: DIH.VEHL.AXP
development: DIH.VEHL.AXP.MAXNT
die: DAY
difference: DIHF.AXR.AXNS
different: DIHF.AXR.AXNT
difficult: DIHF.AX.KAXLT
dinner: DIHN.AXR
direction: DIH.REHK.SHAXN
director: DAY.REHK.TAXR
discover: DIH.SKAHV.AXR
discuss: DIH.SKAHS
discussion: DIH.SKAHSH.AXN
disease: DIH.ZIYZ
do: DAX
doctor: DAAK.TAXR
dog: DAAG
door: DAOR
down: DAWN
draw: DRAA
dream: DRIYM
drive: DRAYV
drop: DRAAP
drug: DRAHG
during: DUHR.IHNG
each: IYCH
early: ER.LIY
east: IYST
easy: IY.ZIY
eat: IYT
economic:IY.KAX.NAA.MIHK
economy: IY.KAA.NAX.MIY
edge: EHJH
education:EHJH.AX.KEY.SHAXN
effect: AX.FEHKT
effort: EHF.AXRT
eight: EYT
either: IY.DHAXR
election: IY.LEHK.SHAXN
else: EHLS
employee: IHM.PLOY.IY
end: EHND
energy: EHN.AXR.JHIY
enjoy: IHN.JHOY
enough: AX.NAHF
enter: EHN.TAXR
entire: IHN.TAYR
environment: IHN.VAY.RAXN.MAXNT
environmental: IHN.VAY.RAXN.MEHN.TAXL
especially: IH.SPEHSH.AXL.IY
establish: IH.STAEB.LIHSH
even: IY.VAXN
evening: IYV.NIHNG
event: IH.VEHNT
ever: EHV.AXR
every: EHV.RIY
everybody: EHV.RIY.BAA.DIY
everyone: EHV.RIY.WAHN
everything: EHV.RIY.THIHNG
evidence: EHV.AX.DAXNS
exactly: IHG.ZAEKT.LIY
example: IHG.ZAEM.PAXL
executive: IHG.ZEHK.YAX.TIHV
exist: IHG.ZIHST
expect: IHK.SPEHKT
experience: IHK.SPIHR.IY.AXNS
expert: EHK.SPERT
explain: IHK.SPLEYN
eye: AY
face: FEYS
fact: FAEKT
factor: FAEK.TAXR
fail: FEYL
fall: FAAL
family: FAEM.AXL.IY
far: FAAR
fast: FAEST
father: FAA.DHAXR
fear: FIHR
federal: FEHD.AXR.AXL
feel: FIYL
feeling: FIY.LIHNG
few: FYUW
field: FIYLD
fight: FAYT
figure: FIHG.YAXR
fill: FIHL
film: FIHLM
final: FAY.NAXL
finally: FAY.NAXL.IY
financial: FAY.NAEN.SHAXL
find: FAYND
fine: FAYN
finger: FIHNG.GAXR
finish: FIHN.IHSH
fire: FAYR
firm: FERM
first: FERST
fish: FIHSH
five: FAYV
floor: FLAOR
fly: FLAY
focus: FOW.KAXS
follow: FAA.LOW
food: FUWD
foot: FUHT
for: FAOR
force: FAORS
foreign: FAOR.AXN
forget: FAXR.GEHT
form: FAORM
former: FAOR.MAXR
forward: FAOR.WAXRD
four: FAOR
free: FRIY
friend: FREHND
from: FRAAM
front: FRAHNT
full: FUHL
fund: FAHND
future: FYUW.CHAXR
game: GEYM
garden: GAAR.DAXN
gas: GAES
general: JHEHN.AXR.AXL
generation:JHEHN.AX.REY.SHAXN
get: GEHT
girl: GERL
give: GIHV
glass: GLAES
go: GOW
goal: GOWL
good: GUHD
government: GAHV.AXRN.MAXNT
great: GREYT
green: GRIYN
ground: GRAWND
group: GRUWP
grow: GROW
growth: GROWTH
guess: GEHS
gun: GAHN
guy: GAY
hair: HHEHR
half: HHAEF
hand: HHAEND
hang: HHAENG
happen: HHAEP.AXN
happy: HHAEP.IY
hard: HHAARD
have: HHAEV
he: HHIY
head: HHEHD
health: HHEHLTH
hear: HHIHR
heart: HHAART
heat: HHIYT
heavy: HHEHV.IY
help: HHEHLP
her: HHER
here: HHIHR
herself: HHER.SEHLF
high: HHAY
him: HHIHM
himself: HHIHM.SEHLF
his: HHIHZ
history: HHIHS.TAXR.IY
hit: HHIHT
hold: HHOWLD
home: HHOWM
hope: HHOWP
hospital: HHAA.SPIH.TAXL
hot: HHAAT
hotel: HHOW.TEHL
hour: AWR
house: HHAWS
how: HHAW
however:HHAW.EHV.AXR
huge: HHYUWJH
human: HHYUW.MAXN
hundred: HHAHN.DRAXD
husband: HHAHZ.BAXND
I: AY
idea: AY.DIY.AX
identify: AY.DEHN.TAX.FAY
if: IHF
image: IHM.IHJH
imagine: IH.MAEJH.IHN
impact: IHM.PAEKT
important: IHM.PAOR.TAXNT
improve: IHM.PRUWV
in: IHN
include: IHN.KLUWD
including: IHN.KLUW.DIHNG
increase: IHN.KRIYS
indeed: IHN.DIYD
indicate: IHN.DAX.KEYT
individual:IHN.DAX.VIHJH.UW.AXL
industry: IHN.DAX.STRIY
information:IHN.FAXR.MEY.SHAXN
inside: IHN.SAYD
instead: IHN.STEHD
institution:IHN.STAX.TUW.SHAXN
interest: IHN.TRIHST
interesting: IHN.TRIH.STIHNG
international:IHN.TAXR.NAESH.AXN.AXL
interview: IHN.TAXR.VYUW
into: IHN.TUW
investment: IHN.VEHST.MAXNT
involve: IHN.VAALV
issue: IHSH.UW
it: IHT
item: AY.TAXM
its: IHTS
itself: IHT.SEHLF
job: JHAAB
join: JHOYN
just: JHAHST
keep: KIYP
key: KIY
kid: KIHD
kill: KIHL
kind: KAYND
kitchen: KIHCH.AXN
know: NOW
knowledge: NAA.LIHJH
land: LAEND
language: LAENG.GWIHJH
large: LAARJH
last: LAEST
late: LEYT
later: LEY.TAXR
laugh: LAEF
law: LAA
lawyer: LOY.YAXR
lay: LEY
lead: LIYD
leader: LIY.DAXR
learn: LERN
least: LIYST
leave: LIYV
left: LEHFT
leg: LEHG
legal: LIY.GAXL
less: LEHS
let: LEHT
letter: LEHT.AXR
level: LEHV.AXL
lie: LAY
life: LAYF
light: LAYT
like: LAYK
likely: LAY.KLIY
line: LAYN
list: LIHST
listen: LIHS.AXN
little: LIHT.AXL
live: LIHV
local: LOW.KAXL
long: LAANG
look: LUHK
lose: LUWZ
loss: LAAS
lot: LAAT
love: LAHV
low: LOW
machine: MAX.SHIYN
magazine:MAEG.AX.ZIYN
main: MEYN
maintain: MEYN.TEYN
major: MEY.JHAXR
majority: MAX.JHAO.RAX.TIY
make: MEYK
man: MAEN
manage: MAEN.AXJH
management: MAEN.AXJH.MAXNT
manager: MAEN.AX.JHAXR
many: MEHN.IY
market: MAAR.KIHT
marriage: MEHR.IHJH
material: MAX.TIHR.IY.AXL
matter: MAET.AXR
may: MEY
maybe: MEY.BIY
me: MIY
mean: MIYN
measure: MEHZH.AXR
media: MIY.DIY.AX
medical: MEHD.IH.KAXL
meet: MIYT
meeting: MIY.TIHNG
member: MEHM.BAXR
memory: MEHM.AXR.IY
mention: MEHN.SHAXN
message: MEHS.IHJH
method: MEHTH.AXD
middle: MIHD.AXL
might: MAYT
military: MIHL.AX.TEHR.IY
million: MIHL.YAXN
mind: MAYND
minute: MIHN.IHT
miss: MIHS
mission: MIHSH.AXN
model: MAA.DAXL
modern: MAA.DAXRN
moment: MOW.MAXNT
money: MAHN.IY
month: MAHNTH
more: MAOR
morning: MAOR.NIHNG
most: MOWST
mother: MAHDH.AXR
mouth: MAWTH
move: MUWV
movement: MUWV.MAXNT
movie: MUW.VIY
Mr: MIHS.TAXR
Mrs: MIHS.IHZ
much: MAHCH
music: MYUW.ZIHK
must: MAHST
my: MAY
myself: MAY.SEHLF
name: NEYM
nation: NEY.SHAXN
national: NAESH.AXN.AXL
natural: NAECH.AXR.AXL
nature: NEY.CHAXR
near: NIHR
nearly: NIHR.LIY
necessary: NEHS.AX.SEHR.IY
need: NIYD
network: NEHT.WERK
never: NEHV.AXR
new: NUW
news: NUWZ
newspaper: NUWZ.PEY.PAXR
next: NEHKST
nice: NAYS
night: NAYT
no: NOW
none: NAHN
nor: NAOR
north: NAORTH
not: NAAT
note: NOWT
nothing: NAHTH.IHNG
notice: NOW.TIHS
now: NAW
n't: -AXNT
number: NAHM.BAXR
occur: AX.KER
of: UWSWEHaK /AXV
off: AAF
offer: AA.FAXR
office: AA.FIHS
officer: AA.FIH.SAXR
official: AX.FIHSH.AXL
often: AAF.AXN
oh: OW
oil: OYL
ok:OW.KEY
old: OWLD
on: AAN
once: WAHNS
one: WAHN
only: OWN.LIY
onto: AAN.TUW
open: OW.PAXN
operation:AA.PAX.REY.SHAXN
opportunity:AA.PAXR.TUW.NAX.TIY
option: AAP.SHAXN
or: AOR
order: AOR.DAXR
organization:AOR.GAXN.AX.ZEY.SHAXN
other: AHDH.AXR
others: AHDH·AXRZ
our: AW.AXR
out: AWT
outside:AWT.SAYD
over: OW.VAXR
own: OWN
owner: OW.NAXR
page: PEYJH
pain: PEYN
painting: PEYN.TIHNG
paper: PEY.PAXR
parent: PEHR.AXNT
part: PAART
participant: PAAR.TIHS.AX.PAXNT
particular: PAXR.TIHK.YAX.LAXR
particularly: PAXR.TIHK.YAX.LAXR.LIY
partner: PAART.NAXR
party: PAAR.TIY
pass: PAES
past: PAEST
patient: PEY.SHAXNT
pattern: PAET.AXRN
pay: PEY
peace: PIYS
people: PIY.PAXL
per: PER
perform: PAXR.FAORM
performance: PAXR.FAOR.MAXNS
perhaps: PAXR.HHAEPS
period: PIHR.IY.AXD
person: PER.SAXN
personal: PER.SAXN.AXL
phone: FOWN
physical: FIHZ.IH.KAXL
pick: PIHK
picture: PIHK.CHAXR
piece: PIYS
place: PLEYS
plan: PLAEN
plant: PLAENT
play: PLEY
player: PLEY.AXR
PM:PIY.EHM
point: POYNT
police: PAX.LIYS
policy: PAA.LAX.SIY
political: PAX.LIHT.AX.KAXL
politics: PAA.LAX.TIHKS
poor: PUHR
popular: PAA.PYAX.LAXR
population:PAA.PYAX.LEY.SHAXN
position: PAX.ZIHSH.AXN
positive: PAA.ZAX.TIHV
possible: PAA.SAX.BAXL
power: PAW.AXR
practice: PRAEK.TIHS
prepare: PRIH.PEHR
present: PREHZ.AXNT
president: PREHZ.IH.DAXNT
pressure: PREHSH.AXR
pretty: PRIHT.IY
prevent: PRIH.VEHNT
price: PRAYS
private: PRAY.VAXT
probably: PRAA.BAX.BLIY
problem: PRAA.BLAXM
process: PRAA.SEHS
produce: PRAX.DUWS
product: PRAA.DAHKT
production: PRAX.DAHK.SHAXN
professional: PRAX.FEHSH.AXN.AXL
professor: PRAX.FEHS.AXR
program: PROW.GRAEM
project: PRAA.JHEHKT
property: PRAA.PAXR.TIY
protect: PRAX.TEHKT
prove: PRUWV
provide: PRAX.VAYD
public: PAHB.LIHK
pull: PUHL
purpose: PER.PAXS
push: PUHSH
put: PUHT
quality: KWAA.LAX.TIY
question: KWEHS.CHAXN
quickly: KWIHK.LIY
quite: KWAYT
race: REYS
radio: REY.DIY.OW
raise: REYZ
range: REYNJH
rate: REYT
rather: RAEDH.AXR
reach: RIYCH
read: RIYD
ready: REHD.IY
real: RIY.AXL
reality: RIY.AEL.AX.TIY
realize: RIY.AX.LAYZ
really: RIY.AX.LIY
reason: RIY.ZAXN
receive: RIH.SIYV
recent: RIY.SAXNT
recently: RIY.SAXNT.LIY
recognize: REHK.AXG.NAYZ
record: RIH.KAORD
red: REHD
reduce: RIH.DUWS
reflect: RIH.FLEHKT
region: RIY.JHAXN
relate: RIH.LEYT
relationship: RIH.LEY.SHAXN.SHIHP
religious: YoUWR BRoWSEHR DoEHSN'T SUWPPoRT HTML5 aUWDIYo
remain: RIH.MEYN
remember: RIH.MEHM.BAXR
remove: RIH.MUWV
report: RIH.PAORT
represent:REHP.RIH.ZEHNT
Republican: RAX.PAHB.LIH.KAXN
require: RIH.KWAYR
research: RIY.SERCH
resource: RIY.SAORS
respond: RIH.SPAAND
response: RIH.SPAANS
responsibility: RIH.SPAAN.SAX.BIHL.AX.TIY
rest: REHST
result: RIH.ZAHLT
return: RIH.TERN
reveal: RIH.VIYL
rich: RIHCH
right: RAYT
rise: RAYZ
risk: RIHSK
road: ROWD
rock: RAAK
role: ROWL
room: RUWM
rule: RUWL
run: RAHN
safe: SEYF
same: SEYM
save: SEYV
say: SEY
scene: SIYN
