a: /eɪ/
ability: /əˈbɪl.ə.t̬i/
able: /ˈeɪ.bəl/
about: /əˈbaʊt/
above: /əˈbʌv/
accept: /əkˈsept/
according: /əˈkɔːrd/
account: /əˈkaʊnt/
across: /əˈkrɑːs/
act: /ækt/
action: /ˈæk.ʃən/
activity: /ækˈtɪv.ə.t̬i/
actually: /ˈæk.tʃu.ə.li/
add: /æd/
address: /ˈæd.res/
administration: /ədˌmɪn.əˈstreɪ.ʃən/
admit: /ədˈmɪt/
adult: /ˈæd.ʌlt/
affect: /əˈfekt/
after: /ˈæf.tɚ/
again: /əˈɡen/
against: /əˈɡenst/
age: /eɪdʒ/
agency: /ˈeɪ.dʒən.si/
agent: /ˈeɪ.dʒənt/
ago: /əˈɡoʊ/
agree: /əˈɡriː/
agreement: /əˈɡriː.mənt/
ahead: /əˈhed/
air: /er/
all: /ɑːl/
allow: /əˈlaʊ/
almost: /ˈɑːl.moʊst/
alone: /əˈloʊn/
along: /əˈlɑːŋ/
already: /ɑːlˈred.i/
also: /ˈɑːl.soʊ/
although: /ɑːlˈðoʊ/
always: /ˈɑːl.weɪz/
American: /əˈmer.ɪ.kən/
among: /əˈmʌŋ/
amount: /əˈmaʊnt/
analysis: /əˈnæl.ə.sɪs/
and: /ænd/
animal: /ˈæn.ɪ.məl/
another: /əˈnʌð.ɚ/
answer: /ˈæn.sɚ/
any: /ˈen.i/
anyone: /ˈen.i.wʌn/
anything: /ˈen.i.θɪŋ/
appear: /əˈpɪr/
apply: /əˈplaɪ/
approach: /əˈproʊtʃ/
area: /ˈer.i.ə/
argue: /ˈɑːrɡ.juː/
arm: /ɑːrm/
around: /əˈraʊnd/
arrive: /əˈraɪv/
art: /ɑːrt/
article: /ˈɑːr.t̬ɪ.kəl/
artist: /ˈɑːr.t̬ɪst/
as: /æz/
ask: /æsk/
assume: /əˈsuːm/
at: /æt/
attack: /əˈtæk/
attention: /əˈten.ʃən/
attorney: /əˈtɝː.ni/
audience: /ˈɑː.di.əns/
author: /ˈɑː.θɚ/
authority: /əˈθɔːr.ə.t̬i/
available: /əˈveɪ.lə.bəl/
avoid: /əˈvɔɪd/
away: /əˈweɪ/
baby: /ˈbeɪ.bi/
back: /bæk/
bad: /bæd/
bag: /bæɡ/
ball: /bɑːl/
bank: /bæŋk/
bar: /bɑːr/
base: /beɪs/
be: /biː/
beat: /biːt/
beautiful: /ˈbjuː.t̬ə.fəl/
because: /bɪˈkʌz/
become: /bɪˈkʌm/
bed: /bed/
before: /bɪˈfɔːr/
begin: /bɪˈɡɪn/
behavior: /bɪˈheɪ.vjɚ/
behind: /bɪˈhaɪnd/
believe: /bɪˈliːv/
benefit: /ˈben.ə.fɪt/
best: /best/
better: /ˈbet̬.ɚ/
between: /bɪˈtwiːn/
beyond: /biˈjɑːnd/
big: /bɪɡ/
bill: /bɪl/
billion: /ˈbɪl.jən/
bit: /bɪt/
black: /blæk/
blood: /blʌd/
blue: /bluː/
board: /bɔːrd/
body: /ˈbɑː.di/
book: /bʊk/
born: /bɔːrn/
both: /boʊθ/
box: /bɑːks/
boy: /bɔɪ/
break: /breɪk/
bring: /brɪŋ/
brother: /ˈbrʌð.ɚ/
budget: /ˈbʌdʒ.ɪt/
build: /bɪld/
building: /ˈbɪl.dɪŋ/
business: /ˈbɪz.nɪs/
but: /bʌt/
buy: /baɪ/
by: /baɪ/
call: /kɑːl/
camera: /ˈkæm.rə/
campaign: /kæmˈpeɪn/
can: /kæn/
cancer: /ˈkæn.sɚ/
candidate: /ˈkæn.dɪ.dət/
capital: /ˈkæp.ə.t̬əl/
car: /kɑːr/
card: /kɑːrd/
care: /ker/
career: /kəˈrɪr/
carry: /ˈker.i/
case: /keɪs/
catch: /kætʃ/
cause: /kɑːz/
cell: /sel/
center: /ˈsen.t̬ɚ/
central: /ˈsen.trəl/
century: /ˈsen.tʃər.i/
certain: /ˈsɝː.tən/
certainly: /ˈsɝː.tən.li/
chair: /tʃer/
challenge: /ˈtʃæl.ɪndʒ/
chance: /tʃæns/
change: /tʃeɪndʒ/
character: /ˈker.ək.tɚ/
charge: /tʃɑːrdʒ/
check: /tʃek/
child: /tʃaɪld/
choice: /tʃɔɪs/
choose: /tʃuːz/
church: /tʃɝːtʃ/
citizen: /ˈsɪt̬.ə.zən/
city: /ˈsɪt̬.i/
civil: /ˈsɪv.əl/
claim: /kleɪm/
class: /klæs/
clear: /klɪr/
clearly: /ˈklɪr.li/
close: /kloʊz/
coach: /koʊtʃ/
cold: /koʊld/
collection: /kəˈlek.ʃən/
college: /ˈkɑː.lɪdʒ/
color: /ˈkʌl.ɚ/
come: /kʌm/
commercial: /kəˈmɝː.ʃəl/
common: /ˈkɑː.mən/
community: /kəˈmjuː.nə.t̬i/
company: /ˈkʌm.pə.ni/
compare: /kəmˈper/
computer: /kəmˈpjuː.t̬ɚ/
concern: /kənˈsɝːn/
condition: /kənˈdɪʃ.ən/
conference: /ˈkɑːn.fɚ.əns/
Congress: /ˈkɑːŋ.ɡres/
consider: /kənˈsɪd.ɚ/
consumer: /kənˈsuː.mɚ/
contain: /kənˈteɪn/
continue: /kənˈtɪn.juː/
control: /kənˈtroʊl/
cost: /kɑːst/
could: /kʊd/
country: /ˈkʌn.tri/
couple: /ˈkʌp.əl/
course: /kɔːrs/
court: us/kɔːrt/
cover: /ˈkʌv.ɚ/
create: /kriˈeɪt/
crime: /kraɪm/
cultural: /ˈkʌl.tʃɚ.əl/
culture: /ˈkʌl.tʃɚ/
cup: /kʌp/
