Word,Frequency
the,4597
i,2598
a,2565
and,2090
to,1772
you,1711
in,1373
my,1347
i'm,1150
like,1122
of,1118
it,1073
with,1016
on,874
me,781
is,751
that,733
your,695
for,604
they,566
but,515
up,490
this,483
get,463
it's,432
all,412
when,405
no,400
got,388
so,385
be,383
out,380
we,378
don't,365
just,351
was,324
from,320
shit,313
at,307
if,302
back,286
what,279
ain't,269
as,259
niggas,253
then,251
or,247
not,235
'em,235
now,231
'cause,230
that's,227
he,217
know,214
see,213
off,212
nigga,211
never,208
make,205
can,195
do,195
fuck,194
one,182
go,180
been,177
who,175
his,165
her,164
these,158
them,157
bitch,157
yeah,156
are,155
than,149
an,147
through,147
how,146
come,143
still,142
more,141
time,140
some,139
y'all,138
down,136
where,133
him,131
every,130
you're,127
have,125
take,122
say,120
put,119
feel,119
man,114
i'll,114
by,112
even,110
she,110
had,109
let,106
keep,106
wanna,106
us,104
can't,104
rap,103
will,102
call,101
way,100
need,98
could,98
ya,97
black,96
hit,96
said,95
only,95
think,94
right,94
too,92
life,91
while,90
better,89
over,89
give,88
fuckin',88
look,87
want,87
about,81
mind,81
god,81
real,80
here,79
into,79
why,79
new,79
whole,79
leave,78
top,77
stop,76
'til,76
made,73
i'ma,73
tell,72
game,72
same,72
gotta,72
head,71
day,71
face,71
beat,71
big,70
really,70
flow,69
won't,68
before,68
ever,68
uh,67
tryna,66
hard,65
gon',65
did,64
i've,64
am,64
little,64
try,64
came,63
love,62
show,62
told,61
ass,60
kill,60
two,60
money,60
might,60
since,60
yo,59
spit,58
gonna,57
people,56
would,56
drop,55
our,55
around,55
'bout,55
rappers,54
again,54
should,54
watch,53
done,53
name,52
well,52
any,52
run,52
always,52
thought,51
stay,51
though,51
i’m,51
half,51
left,50
used,49
bitches,49
high,49
start,48
oh,48
play,48
hot,48
good,48
world,48
what's,48
turn,47
live,47
inside,47
soul,46
dead,46
hate,45
he's,45
best,45
cut,45
block,44
hold,44
next,44
last,44
bad,43
rock,43
long,43
find,43
there's,43
end,42
first,42
gettin',42
check,41
pop,41
crazy,41
another,39
their,39
gun,39
full,39
nothin',38
most,38
cold,38
slow,38
mad,38
seen,38
sound,38
death,37
baby,37
runnin',37
cause,37
took,37
old,37
catch,37
hell,37
bag,37
crack,37
sick,37
talk,37
pull,37
heart,36
hand,36
straight,36
own,36
fire,36
heard,36
lost,35
shot,35
mic,35
probably,35
white,35
body,34
huh,34
ask,34
street,34
mean,34
lot,34
set,34
after,34
beef,34
other,34
dope,34
blow,34
couldn't,34
getting,33
hoes,33
eat,33
work,33
city,33
blood,33
lookin',33
myself,33
streets,33
i'd,33
thing,33
red,33
without,32
pay,32
gold,32
sure,32
dick,32
words,32
five,32
song,32
eyes,32
many,32
bars,32
went,32
there,31
murder,31
please,31
much,31
enough,31
listen,31
hear,31
broke,31
damn,31
home,31
yes,31
boy,31
you'll,30
bring,30
open,30
fly,30
deep,30
three,30
bust,30
place,30
fight,30
those,30
son,30
line,30
break,30
king,29
nah,29
guess,29
cats,29
fucking,29
rhyme,29
feelin',29
die,29
girl,29
young,29
fake,29
caught,29
pen,29
kids,29
track,29
past,28
coming,28
believe,28
move,28
away,28
peace,28
ready,28
throw,28
light,28
pain,28
days,28
until,28
different,28
cash,27
smoke,27
remember,27
dark,27
stick,27
wait,27
everybody,27
brain,27
hundred,27
dog,26
kid,26
word,26
music,26
type,26
under,26
everything,26
front,26
double,26
pass,26
style,26
woo,26
gone,26
use,26
known,26
quick,26
trying,26
night,26
started,26
hands,26
going,26
